latitude,longitude,brightness,scan,track,insert_time,satellite_date,confidence,bright_t31,frp,result
19.82453,100.07939,319.5,0.39,0.36,2:00:00,4/3/2020,nominal,298,1.3,NO
19.825,99.652,313.9,1.8,1.3,23:00:00,4/3/2020,88,297.5,24.1,NO
19.82512,100.07571,324.1,0.39,0.36,2:00:00,4/3/2020,nominal,298.8,2,NO
19.82572,100.07203,307.7,0.39,0.36,2:00:00,4/3/2020,nominal,296,2,NO
19.82641,100.1101,308.5,0.39,0.36,2:00:00,4/3/2020,nominal,296.5,2.1,NO
19.82641,100.1101,308.5,0.39,0.36,2:00:00,4/3/2020,nominal,296.5,2.2,NO
19.82666,100.08739,316.2,0.39,0.36,2:00:00,4/3/2020,nominal,296.8,1.8,NO
19.8272,100.08092,312.4,0.52,0.67,1:06:00,4/3/2020,nominal,295.5,4,NO
19.82725,100.08368,313.9,0.39,0.36,2:00:00,4/3/2020,nominal,297.8,2.8,NO
19.82734,100.08312,308.2,0.52,0.67,1:06:00,4/3/2020,nominal,294.8,3.4,NO
19.82763,100.07585,312.4,0.52,0.67,1:06:00,4/3/2020,nominal,295.7,2.4,NO
19.82777,100.07854,312.4,0.52,0.67,1:06:00,4/3/2020,nominal,295.6,2.6,NO
19.828,99.641,311.1,1.8,1.3,23:00:00,4/3/2020,81,297,18.6,NO
19.8281,100.07034,305.2,0.52,0.67,1:06:00,4/3/2020,nominal,294.2,2.4,NO
19.82828,100.07299,313.8,0.52,0.67,1:06:00,4/3/2020,nominal,295.2,2.6,NO
19.82903,100.07263,315.7,0.39,0.36,2:00:00,4/3/2020,nominal,296.8,2.4,NO
19.82913,99.45498,308.2,0.38,0.36,2:00:00,4/3/2020,nominal,295.6,1.2,NO
